type,name,namespace,threat_type,description,legitimate_package
npm,html-components,,false_positive,"Possible typosquat of posthtml-component Explanation: The package name 'html-components' is sufficiently similar to 'posthtml-component' in terms of structure and purpose, with only minor alterations (omission of the 'post' prefix and pluralization). This similarity can potentially deceive users, making it an adversarial name. There is no username or clear fork indicator in the name, so it is not considered a fork. The functionalities implied by both package descriptions overlap significantly, suggesting that they do not have distinct purposes. The maintainers of 'html-components' (arnogues) are not recognized as the legitimate maintainers of 'posthtml-component', adding to the suspicion. The README is present, so no_readme is false. Overall, the name and metadata raise suspicion of typosquatting intent. Risk level: High).",posthtml-component
nuget,nforza.cyrus.masstransit,,false_positive,"Possible typosquat of nybus.masstransit Explanation: The suspicious package 'nforza.cyrus.masstransit' intentionally mimics the legitimate 'nybus.masstransit' by retaining the key functionality-related suffix '.masstransit'. The prefix 'nforza.cyrus' is used in a way that could deceive users by its similarity in structure and purpose when compared with 'nybus'. There is no indication that it is a fork, as the username element in the package name (nforza) does not clearly denote an official fork but rather appears adversarial. Moreover, its generic description ('Package Description') provides little detail, further raising suspicion that it aims to confuse users. As a result, the package is flagged for adversarial naming and suspicious intent, with no distinct purpose set apart from the legitimate package. Risk level: High).",nybus.masstransit
npm,is-negative-zero,@types,false_positive,"Possible `scope confusion` typosquat of is-negative-zero Explanation: @types/is-negative-zero is a scoped package that adds a namespace to the legitimate package is-negative-zero, which could confuse users. The '@types/' namespace is commonly used for type definitions in TypeScript, indicating it is likely a fork. However, the similarity in names and the potential for user confusion classify it as an adversarial name. The maintainers are known, which reduces suspicion, but the overall context still raises concerns.",is-negative-zero
npm,alicloud-fc-helper,,false_positive,"Possible typosquat of idcloud-heker Explanation: Although both package names share the 'cloud' component, the similarities in the suffix—'heker' versus 'helper'—indicate an attempt to mimic the legitimate 'idcloud-heker'. The change is minor enough to confuse users, especially since 'alicloud-fc-helper' appears to lean on a similar naming formula. It does not include a user-specific prefix or suffix to indicate it is a fork, and the lack of content (i.e., no README) further raises suspicion. In addition, the absence of any clear, distinct functional purpose from 'idcloud-heker' leads to marking it as not having a distinct purpose, thereby making it suspicious from both a naming and metadata perspective. Risk level: High).",idcloud-heker
npm,eslint-config-moaqz,,false_positive,"Possible typosquat of eslint-config-semistandard - Explanation: The package 'eslint-config-moaqz' has no README data, which is abnormal, and the name does not closely resemble 'eslint-config-semistandard'. The maintainer 'moaqz_' is not recognized as a known maintainer in the npm community. The lack of description and the unusual name make it suspicious.",eslint-config-semistandard
npm,nuxt-radash,,false_positive,"Possible `1-step D-L dist` typosquat of nuxt-lodash Explanation: The package name 'nuxt-radash' is very similar in form to 'nuxt-lodash', differing by a single character change ('l' to 'r'), which can mislead users. This indicates an adversarial naming approach. Despite having a distinct purpose (using Radash methods rather than Lodash), the strong similarity in naming raises suspicion of intentional mimicry. There is no clear evidence that the package is a fork or is specifically used for testing, and the maintainer information does not indicate a well-known author, contributing to the overall suspicion.Package is likely a potential typosquat threat.",nuxt-lodash
npm,modal,@purpurds,false_positive,Possible typosquat of @semcore/modal,@semcore/modal
npm,inline-print,,false_positive,"Possible typosquat of gulp-print Explanation: The package 'inline-print' shares the common '-print' suffix with 'gulp-print', and the alteration from 'gulp' to 'inline' is a minor change that could deceive users into thinking it is related. Its lack of a README, combined with a short, non-detailed description and a different maintainer (uyanikoglu vs. the well-known maintainer of gulp-print), further supports a suspicion of typosquatting. There is no indication that 'inline-print' is a fork (no username prefix/suffix) and the potentially confusing name alongside its similarity suggests it is intended to mimic 'gulp-print', so it does not have a distinct purpose. Therefore, it is considered a suspicious package with adversarial naming intent. Risk level: High).",gulp-print
pypi,keti-datadrift,,false_positive,"Possible typosquat of datadiff Explanation: The package name 'keti-datadrift' is confusingly similar to 'datadiff' as it only differs in the suffix (""drift"" instead of ""diff"") and adds a prefix which does not appear to be a known user or organization, resulting in potential for user deception. There is no indication that 'keti-datadrift' is a fork (i.e., it does not incorporate a known maintainer’s username in the package name) and its description (while provided) does not clearly differentiate its purpose from that of 'datadiff'. The similarity in naming is sufficient to consider this an adversarial name with suspicious intent, while the maintainers are not recognized as belonging to the legitimate package. Therefore, it is not considered obviously non-typosquat. Risk level: High).",datadiff
huggingface,ChrisWilson010101/5Fnzh4r9HEuDxYcSBt7GPhDdbEEYBCSsR2S2CanTTToAV4wq_vgg,,false_positive,Possible typosquat of ChrisWilson011016/5Fnzh4r9HEuDxYcSBt7GPhDdbEEYBCSsR2S2CanTTToAV4wq_vgg,ChrisWilson011016/5Fnzh4r9HEuDxYcSBt7GPhDdbEEYBCSsR2S2CanTTToAV4wq_vgg
npm,eslint-plugin-deprecated-props,,false_positive,"Possible typosquat of eslint-plugin-deprecation Explanation: The package name 'eslint-plugin-deprecated-props' is very similar to 'eslint-plugin-deprecation', differing mainly by the substitution of 'deprecation' with 'deprecated-props'. This minor alteration is sufficient to deceive users as an adversarial mimic. There is no indication in the package metadata or naming of an explicit fork or a clearly distinct purpose. Moreover, the maintainer ('nicmosc') does not match the known maintainer of the legitimate package, increasing the suspicion level.Package is adversarial and have similar purpose, so it's likely a typosquat.",eslint-plugin-deprecation
npm,manaxu-ai,,false_positive,"Possible typosquat of @genkit-ai/ai - Explanation: The package 'manaxu-ai' has no README data, which is abnormal. The name 'manaxu-ai' does not closely resemble '@genkit-ai/ai', but the lack of description and the unknown maintainer 'xazu' make it suspicious. The namespace difference is not clearly legitimate, and there is no evidence of a distinct purpose or known maintainer.",@genkit-ai/ai
npm,git-cockpit,,false_positive,"Possible typosquat of git Explanation: The package name 'git-cockpit' is a modification of 'git' that could confuse users, making it an adversarial name. It has a distinct purpose related to managing git repositories, which differentiates it from the basic 'git' package. The maintainers are known in the npm community, but the name and purpose suggest it could be a typosquat.",git
npm,react-scroll-area,@mijn-ui,false_positive,Possible typosquat of @radix-ui/react-scroll-area,@radix-ui/react-scroll-area
npm,esbuild-linux-riscv64,,false_positive,Possible scope confusion typosquat of @esbuild/linux-riscv64,@esbuild/linux-riscv64
npm,nodemailer-mjml,,false_positive,Possible typosquat of nodemailer,nodemailer
npm,cool-rich-text-editor,@aliga,false_positive,Possible typosquat of @vaadin/rich-text-editor,@vaadin/rich-text-editor
npm,eslint-config-turbo,@podcodar,false_positive,"Possible scope confusion typosquat of eslint-config-turbo - Explanation: The package '@podcodar/eslint-config-turbo' lacks a description and uses a namespace that does not clearly indicate a legitimate organization or user. The lack of README data and the similarity in name to 'eslint-config-turbo' suggest it could be a typosquat. The maintainer 'masouzajr' is not recognized as a known maintainer in the npm community, increasing suspicion.",eslint-config-turbo
npm,coomer-downloader,,false_positive,"Possible typosquat of btch-downloader Explanation: Both package names share a similar naming pattern ('<word>-downloader') and the only major difference is the leading term ('coomer' vs 'btch'), which can confuse users as an intentional mimicry. There are no usernames or conventional fork patterns in the name, so it is not considered a fork. The functionalities overlap as both packages target media downloading from social media, implying they do not have a distinct purpose. The maintained author 'smartacephale' is not recognized in relation to the legitimate package, and the metadata does not demonstrate clear legitimacy. In addition, the similar structure along with the suspicious modified word indicates adversarial naming with deceptive intent. Risk level: High).",btch-downloader
