type,name,namespace,threat_type,description,legitimate_package
gem,aws-graph,,false_positive,"Possible typosquat of aws Explanation: The package name 'aws-graph' is a minor modification of 'aws', which could confuse users, making it an adversarial name. It has a distinct purpose related to AWS security, differentiating it from the general AWS library. The maintainers are known in the community, which reduces suspicion, but the name still raises concerns due to its similarity to 'aws'.",aws
gem,baseline,,false_positive,"Possible `1-step D-L dist` typosquat of parseline Explanation: The package name 'baseline' shares the common 'line' suffix with 'parseline', and the substitution of 'parse' with 'base' could confuse users, making it adversarial. There is no user or organization identifier in 'baseline', so it is not clearly a fork, but the name appears to mimic 'parseline'. In addition, the description for 'baseline' is a placeholder ('FIX ME'), and there is no useful README, which adds to the suspicious intent. Although the maintainer 'lobati' is known in the Ruby community, the similarities in the names and ambiguous description make it likely that 'baseline' is imitating 'parseline', hence not a distinct package with a clearly different purpose. Risk level: High).",parseline
gem,carmen,,false_positive,"Possible typosquat of carmine Explanation: 1. obvious_not_typosquat: FALSE – 'carmen' and 'carmine' differ by only one letter, making confusion likely. 2. is_adversarial_name: TRUE – very low edit distance (one character insertion/removal) creates high typo risk. 3. is_fork: FALSE – no username/org prefix or fork indicator in name or metadata. 4. has_distinct_purpose: FALSE – no description or README to suggest a unique use case; appears identical or placeholder. 5. is_test: FALSE – name and metadata do not reference testing. 6. is_known_maintainer: FALSE – Jim Benton is not a recognized or notable maintainer in the Ruby community. 7. no_readme: TRUE – absence of any README or documentation. 8. has_suspicious_intent: TRUE – lack of docs, minimal metadata, and name similarity suggest potential typosquatting. 9. is_relocated_package: FALSE – no indication of official relocation or deprecation notice. Risk level: High.",carmine
gem,deface,,false_positive,"Possible typosquat of defacer Explanation: The name ‘deface’ is only one character different from ‘defacer’, making it highly confusing (is_adversarial_name=true). There’s no description or readme, and no evidence of a distinct functionality or fork, so it’s likely an attempt to impersonate rather than a legitimate alternative (obvious_not_typosquat=false, has_distinct_purpose=false, is_fork=false). The package name doesn’t indicate testing, and the maintainer isn’t a widely recognized Ruby authority (is_test=false, is_known_maintainer=false). The complete lack of documentation (no_readme=true) combined with the near-identical name suggests malicious intent to trick users (has_suspicious_intent=true). There’s no indication it’s a relocated package (is_relocated_package=false). Risk level: High.",defacer
gem,execgem,,false_positive,"Possible `simplification` typosquat of cgem Explanation: Although both package names are in the Ruby ecosystem, 'execgem' and 'cgem' share high visual and phonetic similarity, with execgem only adding a prefix. This one-step modification (prefixing with 'exec') is a classical adversarial technique, making the package name potentially deceptive. There is no indication that 'execgem' is a fork (e.g., no username-based prefix/suffix), so it is not considered a fork. The descriptions suggest different functionalities – cgem helps in switching gem sources, while execgem claims to create an executable gym – yet given the similarity in names, the intention appears to mimic cgem and could mislead users. Moreover, the overall presentation (brief description, similar naming) raises suspicion of intent, yielding a positive flag for suspicious intent. The maintainer, 'ravi7648', is a recognized contributor in the Ruby community, and both packages have a readme (description provided), so those metrics are not suspicious. Therefore, although the packages serve apparently distinct purposes, the naming mimickry is likely deliberate, making its distinct purpose flag false. Risk level: High).",cgem
gem,fcm-ruby-push-notifications,,typosquat,"Possible `simplification` typosquat of ruby-push-notifications Explanation: Both package names are extremely similar with the only difference being the 'fcm-' prefix. This prefix augmentation is a common adversarial tactic aimed at confusing users, making the names deceptively similar. Additionally, the package descriptions are identical, indicating that fcm-ruby-push-notifications is likely intended to mimic ruby-push-notifications rather than representing a truly distinct implementation. Although the maintainers appear to be known in the ruby community, the lack of any clear difference in purpose, along with the adversarial nature of the name, leads to high suspicion of typosquatting. Risk level: High).",ruby-push-notifications
gem,google-cloud-talent-v4,,false_positive,Possible typosquat of google-cloud-talent-v4beta1,google-cloud-talent-v4beta1
gem,hiu_auth,,false_positive,"Possible typosquat of brl_auth Explanation: The package 'hiu_auth' is structurally very similar to 'brl_auth' with only minor character substitutions in the prefix, making it easily confusable and thus adversarial. The naming pattern (_auth) is common, but given the close resemblance and similar intended functionality described in both package descriptions, 'hiu_auth' appears to mimic 'brl_auth' rather than having a distinct purpose. There is no clear indication of a fork since the name does not include a username tag, and the maintainer 'hiungwork' is not recognized as a known maintainer from the legitimate package. The description provided is minimal, yet similar in intent to the legitimate package. There is no evidence for it being a test package, nor is there an indication of relocation. Overall, the analysis raises significant suspicion regarding typosquatting through adversarial naming and mimicking purpose. Risk level: High).",brl_auth
gem,hooks,,typosquat,"Possible typosquat of hookr Explanation: The package names differ by a single character (‘hooks’ vs ‘hookr’), creating high confusion potential—edit distance is low and both share the same root. Neither package includes distinguishing fork indicators or unique descriptions, and no readme is provided. The maintainer is not a well-known Ruby figure, documentation is absent, and the similarity suggests potential for user confusion or malicious impersonation rather than a legitimate distinct project. Risk level: High.",hookr
gem,http-log-analyzer,,false_positive,"Possible typosquat of http-log-parser Explanation: The package names 'http-log-analyzer' and 'http-log-parser' are extremely similar, differing only in the last word, which could deceive users since analyzer and parser are semantically similar domains for HTTP log files. This similarity in naming suggests an intentional mimic. There is no username or namespace indicating that http-log-analyzer is a fork, and there is no indication it is a test package. Additionally, despite having a less detailed description, the high similarity in naming and the potential to confuse users raises suspicion. The maintainers of http-log-analyzer ('johnl') appear legitimate in the Ruby community, however, the overall presentation is still ambiguous, leading to a suspicion of typosquatting. Risk level: High).",http-log-parser
